0,Q
0,Z
0.204918,X
0.546448,J
0.751366,K
1.1612,B
1.29781,V
1.77596,P
1.98087,Y
2.04918,G
2.11749,U
2.3224,W
2.39071,D
2.59563,F
2.73224,C
3.14208,M
3.27869,L
3.48361,H
4.30328,S
4.37158,R
5.80601,N
5.94262,I
6.42076,T
6.48907,A
6.7623,O
19.9454,E
